activity_final,type_final,species_final,age_final,injury_final,final_date,country,state,location,sex
other,unprovoked,unknown,,unknown,2022-06-21,usa,south carolina,"myrtle beach, horry county",M
swimming,unprovoked,unknown,,injured,2022-06-01,australia,western australia,oyster stacks near exmouth12h15,F
surfing,unprovoked,other shark,,no injury,2022-05-27,australia,western australia,yallingup,
diving,unprovoked,bull shark,20.0,no injury,2022-05-20,australia,western australia,"royal perth yacht club, swan river",M
fishing,provoked,other shark,,injured,2022-05-19,belize,ambergris cay,off san pedro,M
fishing,unprovoked,unknown,62.0,injured,2022-05-10,maldives,,"maafilaafushi island, lhaviyani atoll",M
other,unprovoked,unknown,,injured,2022-05-07,french polynesia,bora bora,to'opua,
fishing,provoked,other shark,,injured,2022-05-03,usa,georgia,"île de saint simon, glynn county",M
other,unprovoked,other shark,8.0,injured,2022-05-01,thailand,phuket,kamala beach,M
other,unprovoked,tiger shark,22.0,other,2022-04-30,french polynesia,tahiti,"pointe des pêcheurs, punaahuia",M
other,unprovoked,unknown,32.0,no injury,2022-04-27,australia,,,M
other,unprovoked,unknown,56.0,injured,2022-04-17,usa,florida,"whale harbor, islamorada, monroe county",M
swimming,unprovoked,unknown,17.0,injured,2022-04-12,usa,alabama,"gulf shores, baldwin county",M
swimming,unprovoked,other shark,,injured,2022-04-11,usa,florida,"higkand beach, palm beach county",M
other,provoked,other shark,12.0,other,2022-04-09,usa,new jersey,tutle back zoo,F
other,unprovoked,unknown,,no injury,2022-04-07,usa,florida,canaveral national seashore,M
other,other,unknown,,other,2022-04-01,south africa,kzn,lalucia,M
fishing,provoked,unknown,,injured,2022-03-31,usa,florida,"lake worth beach, palm beach county",M
swimming,unprovoked,tiger shark,56.0,fatal,2022-03-18,columbia,isla de san andres,la piscinita,M
surfing,unprovoked,unknown,,no injury,2022-03-15,new zealand,south island,cobden,M
surfing,unprovoked,bull shark,32.0,injured,2022-03-15,australia,new south wales,crowdy baay,M
swimming,unprovoked,unknown,,unknown,2022-03-15,australia,new south wales,crowdy baay,M
surfing,unprovoked,unknown,20.0,injured,2022-03-13,usa,florida,"new smyrna beach, volusia county",M
fishing,provoked,other shark,21.0,injured,2022-03-09,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,unknown,,no injury,2022-03-08,australia,new south wales,maroubra,M
surfing,unprovoked,white shark,42.0,fatal,2022-02-26,usa,california,"san miguel islandl, santa barbara county",M
diving,other,unknown,51.0,injured,2022-02-21,bahamas,grand  bahama island,tiger beach,M
other,unprovoked,tiger shark,,injured,2022-02-17,australia,queensland,redcliffe,M
swimming,unprovoked,unknown,36.0,fatal,2022-02-16,australia,new south wales,"buchan point, sydney",M
other,unprovoked,other shark,56.0,fatal,2022-02-12,mexico,sonora,yavaros,M
surfing,unprovoked,unknown,18.0,other,2022-02-11,usa,florida,"cocoa beach, brevard  county",M
other,provoked,other shark,37.0,injured,2022-02-10,bahamas,,,F
diving,other,bull shark,50.0,injured,2022-02-08,costa rica,guanacoste,playa del coco,F
other,unprovoked,white shark,20.0,injured,2022-02-05,australia,western australia,"beds, wylie bay, esperance",F
swimming,unprovoked,other shark,,injured,2022-01-24,australia,new south wales,warriewood,M
diving,unprovoked,other shark,,injured,2022-01-22,australia,western australia,whalers beach,M
other,provoked,unknown,,no injury,2022-01-09,south africa,kwazulu-natal,"off beachbums, tongaat",M
swimming,unprovoked,other shark,13.0,other,2022-01-09,new zealand,south island,"friendly bay, oamaru",F
other,unprovoked,other shark,42.0,other,2022-01-06,usa,florida,"anna maria island, manatee county",F
other,unprovoked,unknown,42.0,injured,2022-01-04,australia,new south wales,"hyams beach, jervis bay",F
surfing,unprovoked,unknown,,no injury,2022-01-01,australia,western australia,north lancelin,M
swimming,unprovoked,unknown,9.0,injured,2021-12-25,new zealand,south island,pororari river,F
surfing,unprovoked,white shark,31.0,fatal,2021-12-24,usa,los angeles,morro strand san luis obispo,M
other,unprovoked,other shark,42.0,other,2021-12-22,usa,florida,"anna maria island, manatee county",F
fishing,unprovoked,bull shark,24.0,injured,,australia,queensland,yarrabah,M
diving,unprovoked,unknown,14.0,injured,2021-12-06,mexico,quintana roo,mahahual,M
other,unprovoked,unknown,15.0,injured,2021-12-06,australia,victoria,ocean grove beach,F
swimming,unprovoked,unknown,15.0,injured,2021-12-06,australia,victoria,ocean grove  beach,M
surfing,unprovoked,other shark,,injured,2021-12-04,usa,hawaii,"banyans, kailua-kona",M
other,unprovoked,other,11.0,other,2021-11-15,brazil,são paulo.,boqueirão beach,M
fishing,unprovoked,unknown,27.0,injured,2021-11-07,usa,hawaii,"lahaina, maui",F
swimming,unprovoked,unknown,57.0,fatal,2021-11-06,australia,western australia,"port beach, north freemantle",M
swimming,unprovoked,unknown,,injured,2021-11-03,brazil,são paulo.,ubatuba beach,M
surfing,unprovoked,other shark,26.0,other,2021-11-02,new zealand,north island,taranaki,M
fishing,other,unknown,26.0,other,2021-10-16,australia,queensland,sudbury island,M
swimming,unprovoked,unknown,34.0,injured,2021-10-15,australia,queensland,"hook island, whitsundays",M
surfing,unprovoked,unknown,25.0,injured,2021-10-04,usa,florida,"fort pierce state park, st. lucie county",M
swimming,unprovoked,unknown,,injured,2021-10-03,usa,florida,"jensen beach, martin county",M
surfing,unprovoked,unknown,38.0,injured,2021-10-03,usa,california,"salmon creek beach, sonoma county",M
swimming,other,other shark,,injured,2021-09-10,egypt,,sidi abdel rahmen,M
surfing,unprovoked,unknown,,injured,2021-09-09,usa,florida,"ponce inlet, volusia county",M
surfing,unprovoked,other,31.0,fatal,2021-09-05,australia,new south wales,emerald beach,M
other,unprovoked,unknown,,injured,2021-09-03,british overseas territory,turks and caicos,,M
other,unprovoked,unknown,64.0,injured,2021-09-03,usa,louisiana,off grand isle,M
surfing,unprovoked,unknown,,injured,2021-08-28,usa,texas,"galveston island, galveston county",M
surfing,unprovoked,bull shark,41.0,injured,2021-08-21,usa,florida,"walton beach psrk, st. lucie county",M
swimming,unprovoked,unknown,21.0,injured,2021-08-13,canada,nova scotia,cape breton island,F
other,provoked,unknown,,no injury,2021-08-07,australia,queensland,north stradbroke island,M
surfing,unprovoked,unknown,35.0,other,2021-08-07,usa,florida,"new smyrna beach, volusia county",M
diving,unprovoked,unknown,15.0,injured,2021-08-07,usa,florida,"key largo, monroe county",M
other,unprovoked,other shark,,injured,2021-08-03,usa,south carolina,"hilton head island, beaufort county",M
swimming,unprovoked,other shark,12.0,injured,2021-08-02,usa,maryland,"ocean city, worcester county",F
fishing,provoked,unknown,47.0,injured,2021-07-30,usa,florida,"ponce inlet, volusia county",M
swimming,unprovoked,unknown,15.0,injured,2021-07-27,usa,north carolina,wrightsville beach,M
surfing,unprovoked,other shark,58.0,injured,2021-07-27,usa,georgia,"tybee island, chatham county",M
fishing,provoked,other shark,34.0,injured,2021-07-27,australia,western australia,varanus island,M
swimming,unprovoked,other shark,,injured,2021-07-26,usa,new york,"jones beach, nassau county",M
other,unprovoked,unknown,32.0,injured,2021-07-25,brazil,pernambuco,piedade,M
other,provoked,bull shark,55.0,injured,2021-07-23,thailand,chanthaburi province,kung krabaenbay royal département study center,M
surfing,unprovoked,unknown,,no injury,2021-07-21,usa,california,"capitola beach, santa cruz county",F
other,other,unknown,35.0,injured,2021-07-21,usa,florida,"near patrick afb, brevard county",F
surfing,unprovoked,white shark,,no injury,2021-07-19,australia,western australia,rottnest island,M
surfing,unprovoked,unknown,11.0,injured,2021-07-15,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,unknown,38.0,injured,2021-07-14,south africa,eastern cape province,jeffrey's bay,M
other,provoked,unknown,,injured,2021-07-11,bahamas,,,M
other,unprovoked,other shark,9.0,injured,2021-07-10,usa,florida,"bathtub beach, martin county",F
fishing,unprovoked,unknown,36.0,other,2021-07-10,usa,florida,"46 miles off mayport, duval county",M
swimming,unprovoked,unknown,51.0,fatal,2021-07-10,brazil,pernambuco,piedade,M
surfing,unprovoked,white shark,25.0,other,2021-07-05,australia,new south wales,crescent head,M
swimming,unprovoked,other shark,8.0,other,2021-07-04,usa,florida,"ponce inlet, volusia county",M
fishing,provoked,bull shark,19.0,injured,2021-07-04,usa,bahamas,,F
diving,unprovoked,other shark,31.0,injured,2021-07-03,ecuador,galapagos,,M
other,unprovoked,unknown,15.0,injured,2021-06-30,usa,california,"catalina island, orange county",M
surfing,unprovoked,unknown,,injured,2021-06-28,usa,florida,"block houe beach, brevard county",F
swimming,unprovoked,unknown,7.0,injured,2021-06-27,usa,north carolina,"ocean isle, brunswick county",F
swimming,unprovoked,white shark,38.0,injured,2021-06-26,usa,california,"gray whale beach cove state beach, san mateo county",M
other,unprovoked,unknown,36.0,injured,2021-06-25,jordan,aqaba,,M
surfing,unprovoked,unknown,25.0,injured,2021-06-23,australia,western australia,gum tree bay,M
swimming,unprovoked,unknown,12.0,injured,2021-06-18,usa,florida,"bethune beach, volusia county",M
swimming,unprovoked,other shark,14.0,injured,2021-06-17,usa,florida,"grayton beach state park,   walton county",M
swimming,unprovoked,unknown,12.0,injured,2021-06-14,usa,florida,"new smyrna beach, volusia county",M
swimming,unprovoked,unknown,71.0,injured,2021-06-14,usa,florida,"new smyrna beach, volusia county",M
fishing,provoked,other shark,51.0,injured,2021-06-12,england,west sussex,littlehampton,M
diving,unprovoked,other shark,10.0,injured,2021-06-11,australia,western australia,five fingers reef,M
fishing,provoked,unknown,,fatal,2021-05-25,new caledonia,nouville,chs beach,M
swimming,unprovoked,other shark,26.0,injured,2021-05-23,usa,south carolina,"burkes beach, hilton head, beaufort county",M
fishing,unprovoked,unknown,48.0,injured,2021-05-21,australia,western australia,quondong beach,M
surfing,unprovoked,white shark,59.0,fatal,2021-05-18,australia,new south wales,turncurry beach,M
other,unprovoked,tiger shark,35.0,other,2021-05-15,usa,hawaii,"kanaha beach park, maui",M
other,provoked,other shark,57.0,injured,2021-05-12,belize,ambergris key,,M
swimming,unprovoked,unknown,21.0,other,2021-05-06,usa,florida,"daytona beach shores, volusia county",F
surfing,unprovoked,other shark,14.0,injured,2021-05-03,usa,hawaii,"marine corps base, oahu",M
fishing,unprovoked,unknown,53.0,fatal,2021-05-01,jamaica,westmoreland parish,"little bay, little london",M
surfing,unprovoked,unknown,64.0,injured,2021-04-30,usa,florida,"new smyrna beach, volusia county",F
other,unprovoked,unknown,54.0,injured,2021-04-29,usa,florida,"vero beach, indian river county",M
other,unprovoked,unknown,25.0,no injury,2021-04-24,french polynesia,tahiti,tautira,M
other,unprovoked,unknown,53.0,fatal,2021-04-24,new caledonia,,nouville,M
swimming,unprovoked,tiger shark,57.0,other,2021-04-20,usa,hawaii,kukio bay,F
other,unprovoked,unknown,,injured,2021-04-19,australia,western australia,karratha,M
other,provoked,other shark,,no injury,2021-04-17,usa,north carolina,outer banks,
fishing,unprovoked,other shark,38.0,injured,2021-04-14,south africa,kwazulu-natal,mdloti,M
surfing,unprovoked,white shark,38.0,fatal,2021-04-13,south africa,eastern cape province,chintsa,M
swimming,unprovoked,unknown,36.0,other,2021-04-02,usa,florida,"key biscayne, miami-dade county",M
other,unprovoked,unknown,,other,2021-03-30,usa,florida,"vero beach, indian river county",M
fishing,unprovoked,bull shark,27.0,injured,2021-03-27,australia,western australia,near coral bay,M
swimming,unprovoked,unknown,10.0,unknown,2021-03-26,french polynesia,marquesas,ua pou,M
other,unprovoked,other shark,16.0,injured,2021-03-25,usa,florida,indian river county,F
swimming,unprovoked,other,7.0,injured,2021-03-25,usa,florida,"fort lauderdale, broward county",M
surfing,unprovoked,unknown,9.0,injured,2021-03-21,usa,florida,"miami beach, miami-dade county",M
other,unprovoked,other,75.0,no injury,2021-03-20,australia,western australia,yallingup,M
swimming,unprovoked,other shark,20.0,injured,2021-03-18,usa,florida,"juno beach, palm beach county",M
fishing,unprovoked,tiger shark,16.0,injured,2021-03-02,new caledonia,loyalty islands,ouvéa,M
swimming,unprovoked,tiger shark,57.0,injured,2021-02-28,new caledonia,,i'îot maître,M
fishing,provoked,bull shark,,other,2021-02-20,australia,queensland,waterford west,M
surfing,unprovoked,unknown,,no injury,2021-02-06,usa,hawaii,"waiokapua bay, kaui",M
surfing,other,other shark,17.0,no injury,2021-02-02,australia,south australia,gleneg,M
other,other,white shark,,no injury,2021-02-02,usa,maui,ukumehama,M
swimming,unprovoked,unknown,46.0,other,2021-01-29,australia,western australia,"melaleuca beach, cowaramup bay, gracetown,",F
swimming,unprovoked,other shark,61.0,other,2021-01-27,new zealand,north island,"papamoa beach, bay of plenty",M
swimming,unprovoked,other,58.0,injured,2021-01-23,australia,new south wales,lake macquarie,M
fishing,other,white shark,,no injury,2021-01-22,usa,florida,off tampa bay,
diving,unprovoked,other shark,73.0,other,2021-01-22,usa,hawaii,maui,M
diving,unprovoked,white shark,32.0,fatal,2021-01-21,australia,south australia,port macdonnell,M
swimming,unprovoked,bull shark,57.0,injured,2021-01-14,australia,western australia,swan river bicton,M
surfing,unprovoked,unknown,52.0,other,2021-01-13,brazil,pernambuco,cacimba do padre beach,M
swimming,unprovoked,bull shark,54.0,injured,2021-01-13,australia,western australia,blackwall reach,M
swimming,unprovoked,unknown,7.0,injured,2021-01-11,australia,victoria,13th beach,M
other,unprovoked,unknown,26.0,injured,2021-01-09,st kitts / nevis,the narrows,booby island,F
swimming,unprovoked,unknown,19.0,fatal,2021-01-07,new zealand,north island,"waihī  beach, bay of plenty",F
surfing,unprovoked,unknown,19.0,no injury,2021-01-03,usa,florida,"cocoa beach, brevard  county",M
surfing,unprovoked,unknown,17.0,other,2021-01-02,usa,florida,"cocoa beach, brevard  county",M
swimming,unprovoked,unknown,68.0,injured,2021-01-02,usa,hawaii,"anaehoomalu bay
waikoloa, hawaii county",F
swimming,unprovoked,white shark,,no injury,2020-12-30,usa,california,"coronado, san diego county",M
other,unprovoked,unknown,40.0,injured,2020-12-23,maldives,raa atoll,faadoo island,M
swimming,unprovoked,tiger shark,39.0,fatal,2020-12-10,st martin,,orient beach,F
surfing,unprovoked,unknown,,no injury,2020-12-09,australia,western australia,cable beach,M
surfing,unprovoked,tiger shark,56.0,fatal,2020-12-08,usa,hawaii,honolua bay,M
surfing,unprovoked,unknown,20.0,other,2020-12-06,usa,oregon,"seaside cove, clatsop county",M
surfing,unprovoked,white shark,29.0,injured,2020-12-06,australia,south australia,d’estrees bay near kangaroo island,M
diving,unprovoked,other shark,42.0,injured,2020-12-02,egypt,south sinai,marsa alam,F
diving,unprovoked,unknown,35.0,injured,2020-11-26,usa,hawaii,maui,F
diving,unprovoked,tiger shark,,injured,2020-11-23,new caledonia,south province,st. vincent bay,F
surfing,unprovoked,bull shark,59.0,fatal,2020-11-22,australia,western australia,cable beach,M
surfing,unprovoked,unknown,13.0,injured,2020-11-02,australia,new south wales,"town beach, port macquarie",M
swimming,unprovoked,other shark,17.0,injured,2020-10-31,usa,florida,ormond beach,M
fishing,unprovoked,other shark,,injured,2020-10-30,bahamas,grand bahama island,east end point,M
surfing,unprovoked,unknown,,injured,2020-10-29,usa,"franklin county, florida",st george island,M
diving,unprovoked,unknown,,other,2020-10-25,egypt,south sinai,"shark reef, ras muhammed",
fishing,unprovoked,unknown,59.0,injured,2020-10-24,australia,queensland,britomart reef,M
surfing,other,unknown,,injured,2020-10-21,usa,north carolina,"emerald isle, carteret county",M
surfing,unprovoked,other shark,52.0,fatal,2020-10-09,australia,western australia,kelp beds beach (kelpies),M
surfing,unprovoked,other shark,31.0,injured,2020-10-07,usa,florida,"miami beach, miami-dade county",M
surfing,unprovoked,other,17.0,no injury,2020-10-04,australia,western australia,"toms surf break, hamersley pool, north beach, perth",M
other,provoked,other shark,,injured,2020-09-29,usa,florida,near key largo,M
swimming,other,other shark,61.0,injured,2020-09-21,usa,hawaii,"charley young beach, maui",F
